place_id,gdp_total,gdp_per_capita,gdp_growth,pop_density,hdi,median_age,internet_user,gini,forest_area,co2_per_capita,avg_temp
United States,26950,80400,2.5,37,0.92,38.5,92,41,33,14.4,8.5
China,17700,12500,5.2,153,0.76,38.4,76,37,23,7.6,10.5
Guangdong,1900,15000,4.8,600,0.82,35.0,85,35,53,6.2,22.0
India,3730,2600,7.0,435,0.63,28.4,43,35,24,1.9,24.5
Japan,4230,33800,1.0,338,0.92,48.6,94,33,68,8.1,11.5
Germany,4430,52800,-0.3,240,0.94,45.7,93,31,32,7.7,8.5
Brazil,2130,10400,2.9,25,0.75,33.0,81,53,59,2.0,25.0
Australia,1740,64900,2.1,3,0.95,37.5,91,34,16,15.2,21.6
Nigeria,362,1600,2.8,246,0.53,18.1,36,35,24,0.6,26.8
Russia,2240,15300,3.6,9,0.82,40.3,88,36,49,11.4,-5.1
Norway,485,82000,0.7,15,0.96,39.5,99,27,33,6.7,1.5
