place_id,gdp_total,gdp_per_capita,gdp_growth,hdi,pop_density,median_age,internet_user,gini,forest_area,co2_per_capita,avg_temp
Afghanistan,17.15,413.76,2.27,,63.56,,,,1.85,,
Albania,23.49,9730.87,4.02,,88.11,,,,28.79,,
Algeria,247.92,5370.48,4.1,,19.38,,,,0.83,,
Angola,107.17,2916.14,1.26,,29.48,,,,52.09,,
Antarctica,,,,,,,,,,,
Argentina,649.46,14261.85,-1.86,,16.64,,,,10.32,,
Armenia,24.19,8159.09,8.3,,105.12,,,,11.62,,
Australia,1734.45,65058.38,3.58,,3.47,,,,17.42,,
Austria,516.67,56579.5,-0.79,,110.66,,,,47.24,,
Azerbaijan,72.43,7133.03,1.35,,122.85,,,,14.11,,
Bangladesh,437.42,2551.02,5.78,,1319.18,,,,14.49,,
Belarus,72.48,7896.75,4.13,,45.22,,,,43.41,,
Belgium,651.33,55291.48,1.71,,386.3,,,,22.6,,
Belize,3.05,7424.76,0.5,,18.02,,,,54.52,,
Benin,19.67,1394.18,6.35,,125.14,,,,26.47,,
Bermuda,8.58,132604.44,4.92,,1198.11,,,,18.52,,
Bhutan,3.01,3831.33,4.63,,20.62,,,,71.61,,
Bolivia,52.34,4274.71,2.52,,11.3,,,,46.35,,
Bosnia and Herzegovina,27.59,8663.02,1.99,,62.21,,,,42.73,,
Botswana,19.41,7826.35,3.21,,4.38,,,,26.29,,
Brazil,2191.13,10377.59,3.24,,25.26,,,,58.98,,
Brunei,,,,,,,,,,,
Bulgaria,102.2,15853.21,1.68,,59.38,,,,36.22,,
Burkina Faso,20.11,873.48,3.0,,84.16,,,,22.17,,
Burundi,3.43,250.63,3.25,,533.08,,,,10.89,,
Cambodia,42.34,2429.75,5.01,,98.71,,,,43.06,,
Cameroon,48.81,1720.48,3.35,,60.02,,,,42.67,,
Canada,2173.34,54220.33,1.53,,4.56,,,,39.46,,
Central African Republic,2.56,495.98,0.7,,8.27,,,,35.66,,
Chad,18.34,949.33,3.98,,15.34,,,,3.16,,
Chile,335.52,17067.04,0.52,,26.46,,,,25.01,,
China,18270.36,12951.18,5.41,,150.26,,,,24.03,,
Colombia,366.29,7000.84,0.71,,47.16,,,,52.77,,
Costa Rica,86.5,16942.03,5.11,,99.99,,,,60.4,,
Croatia,85.62,22184.23,3.76,,68.97,,,,34.79,,
Cuba,,,-1.93,,106.17,,,,31.23,,
Cyprus,35.08,36623.69,3.62,,145.56,,,,18.67,,
Czech Republic,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,
Denmark,404.65,68043.55,0.6,,148.67,,,,15.78,,
Djibouti,3.9,3381.3,6.81,,49.74,,,,0.26,,
Dominican Republic,120.46,10630.43,2.19,,235.1,,,,44.99,,
East Timor,,,,,,,,,,,
Ecuador,121.15,6737.85,1.99,,72.4,,,,49.55,,
Egypt,,,,,,,,,,,
El Salvador,33.85,5365.44,3.54,,304.52,,,,27.53,,
Equatorial Guinea,12.34,6677.79,-5.09,,65.87,,,,86.39,,
Eritrea,,,,,28.64,,,,8.63,,
Estonia,41.47,30264.01,-2.74,,32.07,,,,57.07,,
Ethiopia,135.87,1055.81,6.59,,114.04,,,,14.93,,
Falkland Islands,,,,,,,,,,,
Fiji,5.48,5926.21,9.44,,50.58,,,,63.5,,
Finland,295.02,52834.29,-0.94,,18.37,,,,73.72,,
France,3056.25,44700.14,1.44,,126.86,,,,32.48,,
French Guiana,,,,,,,,,,,
French Southern and Antarctic Lands,,,,,,,,,,,
Gabon,19.39,7802.82,2.44,,9.64,,,,91.18,,
Gambia,,,,,,,,,,,
Georgia,30.78,8283.67,7.83,,65.0,,,,40.62,,
Germany,4562.21,54776.77,-0.87,,238.35,,,,32.68,,
Ghana,80.55,2383.9,3.14,,148.5,,,,35.19,,
Greece,242.95,23343.71,2.14,,80.74,,,,30.27,,
Greenland,3.33,58498.97,0.87,,0.14,,,,0.0,,
Guatemala,104.37,5758.33,3.53,,169.14,,,,32.6,,
Guinea,22.41,1555.49,5.54,,58.63,,,,24.7,,
Guinea Bissau,,,,,,,,,,,
Guyana,16.92,20473.7,33.8,,3.91,,,,87.09,,
Haiti,19.85,1705.76,-1.86,,422.26,,,,12.26,,
Honduras,34.36,3227.46,3.58,,95.14,,,,56.27,,
Hungary,213.24,22230.63,-0.82,,105.11,,,,22.45,,
Iceland,31.68,82138.79,5.19,,3.82,,,,0.53,,
India,3638.49,2530.12,9.19,,483.68,,,,24.54,,
Indonesia,1371.17,4876.31,5.05,,148.58,,,,47.72,,
Iran,,,,,,,,,,,
Iraq,268.88,5965.32,0.52,,103.83,,,,1.9,,
Ireland,567.37,106818.92,-2.54,,77.1,,,,11.53,,
Israel,512.18,52003.72,1.83,,455.13,,,,6.47,,
Italy,2316.73,39277.08,0.98,,199.46,,,,32.89,,
Ivory Coast,,,,,,,,,,,
Jamaica,21.42,7542.4,2.75,,262.21,,,,56.19,,
Japan,4213.17,33836.18,1.48,,341.54,,,,68.4,,
Jordan,51.09,4466.08,2.88,,128.83,,,,1.1,,
